,EPOCH,POINTS,REWARD
0,0,0,-98
1,1,0,-47
2,2,0,-38
3,3,1,-129
4,4,0,-396
5,5,0,-292
6,6,0,-437
7,7,0,-83
8,8,0,-449
9,9,0,-253
10,10,0,-30
11,11,0,-493
12,12,0,-252
13,13,1,-63
14,14,0,-107
15,15,0,-158
16,16,0,-688
17,17,0,-428
18,18,0,-118
19,19,0,-145
20,20,0,-44
21,21,0,-570
22,22,0,-274
23,23,1,-544
24,24,0,-361
25,25,0,-34
26,26,0,-46
27,27,1,-45
28,28,0,-357
29,29,0,-40
30,30,0,-287
31,31,1,-134
32,32,0,-280
33,33,0,-830
34,34,0,-514
35,35,0,-820
36,36,0,-1143
37,37,0,-281
38,38,0,-1158
39,39,0,-233
40,40,0,-834
41,41,0,-76
42,42,0,-51
43,43,0,-276
44,44,0,-433
45,45,1,-203
46,46,0,-354
47,47,0,-129
48,48,0,-422
49,49,0,-759
50,50,1,-74
51,51,0,-289
52,52,0,-262
53,53,0,-1468
54,54,0,-1309
55,55,0,-99
56,56,0,-682
57,57,0,-561
58,58,0,-553
59,59,0,-259
60,60,0,-360
61,61,0,-1584
62,62,0,-368
63,63,0,-660
64,64,0,-461
65,65,0,-324
66,66,0,-558
67,67,0,-3603
68,68,0,-207
69,69,1,-1394
70,70,0,-695
71,71,0,-719
72,72,1,-397
73,73,0,-355
74,74,0,-226
75,75,1,-306
76,76,0,-523
77,77,0,-640
78,78,0,-671
79,79,0,-1668
80,80,0,-1172
81,81,0,-2204
82,82,0,-279
83,83,0,-508
84,84,0,-48
85,85,0,-636
86,86,0,-1656
87,87,1,-753
88,88,0,-394
89,89,0,-522
90,90,0,-1426
91,91,0,-1335
92,92,1,-4
93,93,0,-1925
94,94,0,-496
95,95,0,-1216
96,96,0,-81
97,97,0,-556
98,98,0,-119
99,99,0,-692
100,100,0,-130
101,101,0,-688
102,102,0,-170
103,103,0,-610
104,104,0,-1826
105,105,0,-438
106,106,1,-1
107,107,0,-214
108,108,0,-534
109,109,1,-304
110,110,0,-689
111,111,0,-862
112,112,0,-829
113,113,0,-278
114,114,0,-287
115,115,0,-884
116,116,0,-232
117,117,1,-85
118,118,1,-755
119,119,0,-1065
120,120,0,-1554
121,121,0,-718
122,122,0,-759
123,123,0,-608
124,124,0,-1817
125,125,0,-2607
126,126,0,-2772
127,127,0,-802
128,128,0,-959
129,129,0,-732
130,130,0,-1103
131,131,1,-343
132,132,0,-751
133,133,0,-235
134,134,0,-788
135,135,1,-404
136,136,0,-1706
137,137,0,-624
138,138,1,-734
139,139,0,-748
140,140,1,-1214
141,141,0,-247
142,142,0,-96
143,143,0,-1012
144,144,0,-1659
145,145,0,-552
146,146,1,-163
147,147,0,-518
148,148,0,-107
149,149,0,-390
150,150,0,-214
151,151,0,-963
152,152,0,-321
153,153,1,-1249
154,154,0,-1598
155,155,0,-189
156,156,0,-837
157,157,0,-177
158,158,1,-1557
159,159,0,-876
160,160,0,-180
161,161,0,-2514
162,162,0,-589
163,163,0,-357
164,164,0,-133
165,165,0,-872
166,166,1,-117
167,167,0,-1014
168,168,0,-377
169,169,0,-1071
170,170,0,-797
171,171,0,-1230
172,172,0,-253
173,173,0,-1536
174,174,1,-674
175,175,0,-1487
176,176,1,-1188
177,177,0,-1306
178,178,1,-34
179,179,0,-134
180,180,0,-595
181,181,0,-785
182,182,0,-188
183,183,0,-334
184,184,0,-237
185,185,0,-158
186,186,0,-609
187,187,0,-454
188,188,0,-1018
189,189,0,-152
190,190,0,-352
191,191,0,-524
192,192,1,-251
193,193,1,-2499
194,194,0,-370
195,195,0,-852
196,196,0,-228
197,197,0,-33
198,198,0,-756
199,199,0,-117
200,200,1,-760
201,201,0,-1406
202,202,1,-89
203,203,0,-329
204,204,0,-1274
205,205,0,-1613
206,206,0,-84
207,207,0,-91
208,208,0,-261
209,209,0,-103
210,210,0,-850
211,211,1,-399
212,212,0,-103
213,213,0,-1918
214,214,0,-257
215,215,0,-689
216,216,0,-336
217,217,0,-72
218,218,0,-201
219,219,0,-741
220,220,0,-56
221,221,0,-1279
222,222,0,-758
223,223,1,-800
224,224,1,-600
225,225,0,-469
226,226,0,-1007
227,227,0,-875
228,228,0,-356
229,229,1,-567
230,230,0,-1016
231,231,0,-820
232,232,0,-597
233,233,1,-249
234,234,0,-168
235,235,0,-1447
236,236,0,-1134
237,237,1,-130
238,238,0,-1141
239,239,0,-382
240,240,0,-339
241,241,0,-342
242,242,0,-462
243,243,0,-233
244,244,0,-1171
245,245,0,-2165
246,246,0,-2112
247,247,0,-370
248,248,0,-242
249,249,0,-291
250,250,0,-567
251,251,0,-1738
252,252,0,-256
253,253,0,-1353
254,254,0,-1708
255,255,0,-299
256,256,0,-281
257,257,0,-1357
258,258,0,-594
259,259,0,-445
260,260,0,-1131
261,261,1,-90
262,262,0,-1449
263,263,0,-1748
264,264,0,-1640
265,265,0,-831
266,266,0,-469
267,267,0,-394
268,268,0,-254
269,269,0,-485
270,270,0,-627
271,271,0,-460
272,272,0,-104
273,273,0,-827
274,274,0,-329
275,275,0,-237
276,276,0,-495
277,277,1,-209
278,278,0,-100
279,279,0,-2035
280,280,0,-755
281,281,0,-353
282,282,0,-89
283,283,0,-636
284,284,1,-107
285,285,0,-1017
286,286,0,-220
287,287,0,-131
288,288,1,-187
289,289,0,-4460
290,290,0,-1084
291,291,0,-490
292,292,0,-465
293,293,0,-448
294,294,1,-107
295,295,0,-1826
296,296,0,-83
297,297,1,-45
298,298,0,-485
299,299,0,-426
300,300,0,-950
301,301,0,-965
302,302,0,-3034
303,303,1,-126
304,304,0,-450
305,305,0,-275
306,306,0,-780
307,307,0,-2038
308,308,0,-795
309,309,0,-683
310,310,0,-74
311,311,0,-1819
312,312,0,-421
313,313,0,-1185
314,314,0,-247
315,315,0,-288
316,316,1,-732
317,317,0,-788
318,318,0,-1292
319,319,0,-234
320,320,0,-1050
321,321,1,-2514
322,322,1,-266
323,323,0,-265
324,324,1,-3
325,325,1,-345
326,326,0,-2074
327,327,0,-507
328,328,0,-595
329,329,0,-328
330,330,0,-310
331,331,0,-1235
332,332,0,-2075
333,333,0,-750
334,334,1,-242
335,335,0,-339
336,336,0,-770
337,337,0,-132
338,338,0,-658
339,339,0,-501
340,340,0,-422
341,341,0,-808
342,342,1,-437
343,343,0,-113
344,344,0,-365
345,345,0,-186
346,346,0,-2328
347,347,0,-310
348,348,0,-2727
349,349,0,-1625
350,350,0,-237
351,351,1,-162
352,352,0,-648
353,353,0,-340
354,354,0,-1237
355,355,0,-1163
356,356,0,-173
357,357,0,-1119
358,358,0,-372
359,359,0,-54
360,360,0,-559
361,361,0,-563
362,362,1,-356
363,363,0,-46
364,364,0,-418
365,365,0,-750
366,366,0,-412
367,367,1,-6
368,368,0,-4856
369,369,0,-797
370,370,0,-132
371,371,0,-340
372,372,0,-812
373,373,0,-795
374,374,0,-988
375,375,0,-1285
376,376,0,-194
377,377,0,-363
378,378,0,-296
379,379,0,-1281
380,380,1,-155
381,381,0,-427
382,382,0,-778
383,383,0,-962
384,384,0,-704
385,385,0,-297
386,386,0,-762
387,387,0,-2194
388,388,0,-2191
389,389,0,-234
390,390,0,-372
391,391,0,-1150
392,392,0,-477
393,393,1,-94
394,394,1,-104
395,395,0,-625
396,396,1,-1
397,397,1,-384
398,398,1,-367
399,399,0,-857
400,400,0,-384
401,401,0,-278
402,402,1,-181
403,403,0,-734
404,404,0,-99
405,405,0,-818
406,406,0,-521
407,407,0,-664
408,408,0,-598
409,409,0,-442
410,410,1,-813
411,411,0,-296
412,412,0,-240
413,413,0,-231
414,414,0,-292
415,415,0,-441
416,416,0,-165
417,417,2,5
418,418,0,-207
419,419,0,-853
420,420,0,-375
421,421,0,-1134
422,422,0,-553
423,423,0,-546
424,424,0,-95
425,425,0,-950
426,426,0,-1617
427,427,0,-709
428,428,0,-607
429,429,0,-2269
430,430,0,-2214
431,431,0,-278
432,432,0,-153
433,433,0,-1363
434,434,0,-1004
435,435,0,-437
436,436,0,-593
437,437,0,-1714
438,438,0,-1038
439,439,0,-817
440,440,1,-47
441,441,0,-111
442,442,0,-368
443,443,1,-275
444,444,0,-706
445,445,0,-360
446,446,0,-483
447,447,0,-986
448,448,1,-2477
449,449,0,-443
450,450,0,-606
451,451,0,-978
452,452,0,-582
453,453,0,-818
454,454,0,-889
455,455,1,-52
456,456,0,-575
457,457,0,-1620
458,458,0,-949
459,459,0,-736
460,460,0,-296
461,461,0,-354
462,462,0,-1010
463,463,0,-595
464,464,0,-1167
465,465,0,-1414
466,466,1,-261
467,467,1,-26
468,468,0,-1228
469,469,0,-252
470,470,0,-778
471,471,1,-1475
472,472,0,-2439
473,473,0,-1539
474,474,0,-2110
475,475,0,-515
476,476,0,-450
477,477,1,-921
478,478,0,-391
479,479,0,-349
480,480,0,-1197
481,481,0,-1336
482,482,0,-129
483,483,0,-708
484,484,0,-427
485,485,1,-193
486,486,0,-107
487,487,0,-2156
488,488,0,-143
489,489,0,-196
490,490,0,-180
491,491,0,-822
492,492,0,-125
493,493,0,-830
494,494,1,-131
495,495,0,-1523
496,496,0,-119
497,497,1,-361
498,498,0,-125
499,499,1,-231
500,500,0,-1516
501,501,0,-335
502,502,0,-1477
503,503,0,-916
504,504,0,-1308
505,505,0,-321
506,506,0,-593
507,507,0,-1507
508,508,0,-380
509,509,0,-808
510,510,0,-420
511,511,0,-369
512,512,1,-1553
513,513,0,-952
514,514,0,-251
515,515,0,-1667
516,516,0,-1237
517,517,0,-1030
518,518,0,-376
519,519,0,-625
520,520,0,-1028
521,521,0,-490
522,522,0,-134
523,523,1,-71
524,524,0,-175
525,525,0,-1697
526,526,0,-205
527,527,0,-371
528,528,0,-3054
529,529,0,-347
530,530,0,-190
531,531,0,-980
532,532,0,-779
533,533,0,-1296
534,534,1,-720
535,535,0,-1504
536,536,0,-264
537,537,0,-940
538,538,1,-250
539,539,0,-539
540,540,0,-270
541,541,1,-402
542,542,0,-80
543,543,0,-201
544,544,0,-126
545,545,0,-394
546,546,0,-1193
547,547,0,-877
548,548,0,-659
549,549,1,-496
550,550,0,-822
551,551,0,-609
552,552,0,-918
553,553,0,-854
554,554,0,-1891
555,555,0,-280
556,556,0,-1105
557,557,0,-674
558,558,0,-747
559,559,0,-1916
560,560,0,-1034
561,561,1,-233
562,562,0,-281
563,563,0,-173
564,564,1,-56
565,565,0,-688
566,566,1,-45
567,567,0,-113
568,568,0,-96
569,569,0,-1561
570,570,1,-51
571,571,1,-93
572,572,0,-787
573,573,0,-1139
574,574,0,-754
575,575,0,-115
576,576,0,-260
577,577,0,-166
578,578,0,-686
579,579,0,-1002
580,580,0,-1480
