,danger_upward,danger_left,danger_right,danger_downward,fruit_y,fruit_x,up_movement,left_movement,right_movement,down_movement
0,0.0,0.0,1.0,0.0,-1.0,-1.0,2.6338990916066263,0.9795565355732769,0.46665242059886397,0.7091936993756399
1,0.0,0.0,1.0,0.0,-1.0,0.0,4.767750822648151,0.10181805576923811,0.15131615385373617,0.015763272512846642
2,0.0,0.0,1.0,0.0,0.0,-1.0,1.943842353920283,4.476615545146799,2.99511354668797,2.0549834902957795
3,0.0,0.0,0.0,1.0,1.0,-1.0,0.4157059986956456,2.2687029682696602,0.33024865931806613,0.13874227975949507
4,0.0,1.0,0.0,0.0,1.0,-1.0,0.18940925086508195,0.040733096007068606,0.22606030820264592,2.2204658915577085
5,0.0,0.0,0.0,1.0,-1.0,-1.0,2.508890798706818,2.4099216424327334,1.8710458561278809,1.1830115759522382
6,0.0,1.0,0.0,0.0,-1.0,-1.0,2.2901369824909117,0.1224350579225375,0.3755031431443982,0.2809629453288119
7,1.0,0.0,0.0,0.0,-1.0,-1.0,0.01598144987671838,2.4896450958690735,0.11398807573947284,0.18152989830897473
8,0.0,0.0,1.0,0.0,1.0,-1.0,0.8658466433485242,1.1332758832017233,0.5227592240156195,2.533069940631993
9,1.0,0.0,0.0,0.0,1.0,-1.0,1.153566305556115,2.2330938772816182,1.7182680194736073,2.5332878368208123
10,0.0,0.0,1.0,0.0,1.0,0.0,0.028679445942218378,0.13821660870079924,0.14393543042617857,4.357697352366301
11,0.0,0.0,0.0,1.0,1.0,0.0,0.002937247301106221,0.019044481551671214,0.8776034164169051,-0.004969166660169219
12,0.0,0.0,1.0,0.0,1.0,1.0,0.42491633248886856,0.5723773149965042,0.23178030152650378,2.2910095092699967
13,0.0,0.0,0.0,1.0,1.0,1.0,0.13934084115821746,0.13283911751338875,2.194234736551467,0.00039196075706984817
14,0.0,1.0,0.0,0.0,1.0,1.0,0.1965302025075673,0.09201883452591121,0.2833601122357611,2.475883374367482
15,1.0,0.0,0.0,0.0,1.0,1.0,1.0551539673374561,1.768588263485178,1.928405666371214,2.456631945100531
16,1.0,0.0,0.0,0.0,0.0,-1.0,1.2442113616929087,4.359725842998548,0.2701910498980738,0.7706673801304561
17,0.0,0.0,1.0,0.0,-1.0,1.0,2.3635427694880513,0.5335459890152807,0.1715312920380629,0.4447294722775164
18,0.0,0.0,0.0,1.0,-1.0,1.0,0.7917700122975204,0.5937660364224617,2.51581818249891,0.3170945913881238
19,1.0,0.0,0.0,0.0,-1.0,1.0,0.0436487942857227,0.12085300658729427,2.3399074878553816,0.1652625781774371
20,0.0,0.0,0.0,1.0,0.0,-1.0,0.8515501498787363,4.402533029999706,0.29920860365537827,1.379978210767682
21,0.0,1.0,1.0,0.0,-1.0,-1.0,1.8889049099564175,-0.006162435931097746,-0.0056106257441304146,0.03026128232585306
22,0.0,0.0,1.0,1.0,-1.0,-1.0,2.366252328395603,0.8455567255979618,0.2830575294712377,0.28733470734556255
23,0.0,0.0,1.0,1.0,0.0,-1.0,0.6863622703133773,4.349027803130893,1.077959198538761,1.0618653840496484
24,0.0,0.0,1.0,1.0,1.0,-1.0,0.2578774820436937,2.0131596079818004,0.03780964233113468,0.05271167724781137
25,0.0,1.0,0.0,0.0,-1.0,0.0,4.7006977711382785,1.1512219076902968,0.6285116880646865,0.10146306020504006
26,0.0,1.0,0.0,0.0,-1.0,1.0,2.169461624776828,1.2501136013464387,2.728056548013791,1.651107708207635
27,0.0,0.0,0.0,1.0,-1.0,0.0,4.578624261578837,1.6924135532029703,1.7173982028030963,2.7762002414953098
28,0.0,1.0,0.0,1.0,-1.0,-1.0,2.1122287588294326,0.022091497869456973,0.1435334494130461,0.03113926086554882
